W_TS,W_TP,W_PR,W_HU,W_WS,W_WD,W_IC,P_AQIUS,P_MAINUS,P_AQICN,P_MAINCN,WAKTU
2017-03-23T08:00:00.000Z,27,1007,88,2,160,50d,94,p2,46,p2,3/23/2017 15:27:47.965729
2017-03-23T08:00:00.000Z,27,1007,88,2,160,50d,94,p2,46,p2,3/23/2017 15:32:48.411294
2017-03-23T08:00:00.000Z,27,1007,88,2,160,50d,94,p2,46,p2,3/23/2017 15:37:48.711178
2017-03-23T08:00:00.000Z,27,1007,88,2,160,50d,94,p2,46,p2,3/23/2017 15:22:47.647176
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 15:07:46.491504
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 15:17:47.412262
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 15:12:47.087966
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 14:27:43.401881
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 14:22:42.661407
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 15:02:46.262136
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 14:57:45.968444
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 14:52:45.730973
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 14:37:44.507162
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 14:32:44.248250
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 14:47:45.424659
2017-03-23T07:00:00.000Z,26,1008,94,1,280,10d,122,p2,61,p2,3/23/2017 14:42:45.164614
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 13:27:37.829679
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 14:02:40.440253
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 13:42:39.153390
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 13:47:39.385353
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 13:22:37.583977
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 13:37:38.836423
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 13:32:38.600148
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 14:17:42.347210
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 14:12:42.112356
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 13:57:40.119459
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 13:52:39.705856
2017-03-23T06:00:00.000Z,26,1009,94,2,334,10d,118,p2,59,p2,3/23/2017 14:07:40.687696
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 12:42:35.323057
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 12:47:35.560070
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 12:52:35.891184
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 12:57:36.132805
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 13:02:36.435966
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 12:37:35.018716
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 13:12:36.995744
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 13:17:37.258243
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 12:27:34.151894
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 12:32:34.779327
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 12:22:33.893636
2017-03-23T05:00:00.000Z,25,1010,94,1,120,10d,79,p2,36,p2,3/23/2017 13:07:36.681890
2017-03-23T04:00:00.000Z,25,1012,94,2,40,10d,86,p2,41,p2,3/23/2017 11:57:32.463998
2017-03-23T04:00:00.000Z,25,1012,94,2,40,10d,86,p2,41,p2,3/23/2017 11:52:32.229561
2017-03-23T04:00:00.000Z,25,1012,94,2,40,10d,86,p2,41,p2,3/23/2017 11:37:31.369012
2017-03-23T04:00:00.000Z,25,1012,94,2,40,10d,86,p2,41,p2,3/23/2017 12:02:32.768611
2017-03-23T04:00:00.000Z,25,1012,94,2,40,10d,86,p2,41,p2,3/23/2017 11:47:31.922882
2017-03-23T04:00:00.000Z,25,1012,94,2,40,10d,86,p2,41,p2,3/23/2017 11:42:31.676672
2017-03-23T04:00:00.000Z,25,1012,94,2,40,10d,86,p2,41,p2,3/23/2017 11:32:31.009518
2017-03-23T04:00:00.000Z,25,1012,94,2,40,10d,86,p2,41,p2,3/23/2017 12:17:33.579141
2017-03-23T04:00:00.000Z,25,1012,94,2,40,10d,86,p2,41,p2,3/23/2017 12:07:33.025293
